"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"33427-48598","SF","Semi","Semi Ojeleye","Ojeleye","6.15111083984375","45","3500","BOS@LAC","BOS","LAC","","","","",""
"33427-85463","PG","Joe","Joe Chealey","Chealey","3.5","1","3500","CHA@HOU","CHA","HOU","","","","",""
"33427-84694","SG","Bruce","Bruce Brown","Brown","11.950877407140899","57","3500","DET@BKN","DET","BKN","GTD","Ankle","","",""
"33427-49114","SG","Frank","Frank Mason","Mason","10.694117826573988","34","3500","SAC@WAS","SAC","WAS","","","","",""
"33427-84699","SG","Hamidou","Hamidou Diallo","Diallo","8.619565217391305","46","3500","OKC@UTA","OKC","UTA","","","","",""
"33427-84698","SF","Dzanan","Dzanan Musa","Musa","3.0374999046325684","8","3500","DET@BKN","BKN","DET","","","","",""
"33427-85466","PF","Wenyen","Wenyen Gabriel","Gabriel","0","0","3500","SAC@WAS","SAC","WAS","","","","",""
"33427-23772","PG","Yogi","Yogi Ferrell","Ferrell","11.887272505326704","55","3500","SAC@WAS","SAC","WAS","","","","",""
"33427-9953","C","Ian","Ian Mahinmi","Mahinmi","12.432257867628529","31","3500","SAC@WAS","WAS","SAC","","","","",""
"33427-84706","PG","Devonte'","Devonte' Graham","Graham","10.243749618530273","32","3500","CHA@HOU","CHA","HOU","","","","",""
"33427-84708","C","Robert","Robert Williams III","Williams III","9.742307809682993","26","3500","BOS@LAC","BOS","LAC","","","","",""
"33427-84711","SG","Grayson","Grayson Allen","Allen","5.373333231608073","30","3500","OKC@UTA","UTA","OKC","","","","",""
"33427-84713","SG","Svi","Svi Mykhailiuk","Mykhailiuk","6.134146341463414","41","3500","DET@BKN","DET","BKN","","","","",""
"33427-84712","SF","Vincent","Vincent Edwards","Edwards","2.700000047683716","2","3500","CHA@HOU","HOU","CHA","","","","",""
"33427-9454","C","Zaza","Zaza Pachulia","Pachulia","13.223076453575722","52","3500","DET@BKN","DET","BKN","GTD","Achilles","","",""
"33427-9712","PG","Jose","Jose Calderon","Calderon","7.90625","48","3500","DET@BKN","DET","BKN","","","","",""
"33427-23282","SF","Sam","Sam Dekker","Dekker","14.210000610351562","40","3500","SAC@WAS","WAS","SAC","","","","",""
"33427-84723","SG","Khyri","Khyri Thomas","Thomas","5.590476263137091","21","3500","DET@BKN","DET","BKN","","","","",""
"33427-23800","SF","Glenn","Glenn Robinson III","Robinson III","7.086841784025493","38","3500","DET@BKN","DET","BKN","","","","",""
"33427-9465","PG","Raymond","Raymond Felton","Felton","9.512500127156576","24","3500","OKC@UTA","OKC","UTA","","","","",""
"33427-23801","SG","Nik","Nik Stauskas","Stauskas","10.158491026680425","53","3500","TOR@CLE","CLE","TOR","","","","",""
"33427-84730","SG","J.P.","J.P. Macura","Macura","9.399999618530273","1","3500","CHA@HOU","CHA","HOU","","","","",""
"33427-23294","SF","Danuel","Danuel House Jr.","House Jr.","16.83199951171875","25","3500","CHA@HOU","HOU","CHA","","","","",""
